Language_ID,Language_Name,ISO_Code,Family_ID,Genus_ID,Status,Macroarea,Latitude,Longitude,Countrycodes
andi1255,Andi,ani,26,74,unknown,Eurasia,42.8078,46.2919,RU
anua1242,Anywa,anu,16,18,unknown,Africa,7.57714,34.0267,ET
aona1235,Ao,njo,18,33,unknown,Eurasia,26.3241,94.3824,IN
mufi1238,Mufian,aoj,1,1,unknown,Papunesia,-3.57932,142.955,PG
sout3123,Arabic (Palestinian),ajp,2,4,unknown,Eurasia,31.5601,38.0837,PS
mesc1238,Apache (Chiricahua),apm,27,37,definitely endangered,North America,33.1291,-105.566,US
safe1240,Ampeeli,apz,25,73,unknown,Papunesia,-7.05417,146.09,PG
apin1244,Apinayé,apn,48,75,vulnerable,South America,-6.10774,-47.6315,BR
jica1244,Apache (Jicarilla),apj,27,37,severely endangered,North America,36.8079,-107.007,US
apuc1241,A-Pucikwar,apq,31,43,extinct,Eurasia,12.241,92.7965,IN
apal1257,Apalaí,apy,33,45,vulnerable,South America,1.49792,-54.7457,BR
apat1240,Apatani,apt,18,76,vulnerable,Eurasia,27.1933,93.7284,IN
apur1254,Apurinã,apu,13,77,definitely endangered,South America,-8.21692,-66.7714,BR
west2615,Apache (Western),apw,27,37,definitely endangered,North America,33.8574,-110.123,US
araw1276,Arawak,arw,13,78,critically endangered,South America,5.64295,-56.9243,SR
arab1268,Arabela,arl,49,79,severely endangered,South America,-1.96126,-75.0612,PE
arch1244,Archi,aqc,26,32,definitely endangered,Eurasia,42.3239,46.8267,RU
aran1237,Arandai,jbj,50,80,safe,Papunesia,-2.08016,132.983,ID
gulf1241,Arabic (Gulf),afb,2,4,unknown,Eurasia,30.17,47.5,IQ SA OM QA KW IR BH
hija1235,Arabic (Hijazi),acw,2,4,unknown,Eurasia,22.8346,38.9237,SA
arib1241,Aribwatsa,laz,12,25,extinct,Papunesia,-6.72266,146.991,PG
arak1252,Araki,akr,12,25,critically endangered,Papunesia,-15.632997,166.952542,VU
nucl1235,Armenian (Eastern),hye,24,81,unknown,Eurasia,40.0,45.0,AM
aros1241,Arosi,aia,12,25,unknown,Papunesia,-10.2441,161.432,SB
buki1249,Arapesh (Mountain),ape,1,1,unknown,Papunesia,-3.47169,143.111,PG
meso1252,Arabic (Iraqi),acm,2,4,unknown,Eurasia,33.8178,43.1095,IQ
sana1295,Arabic (San'ani),ayn,2,4,safe,Eurasia,15.6552,44.8412,YE
area1240,Areare,alu,12,25,unknown,Papunesia,-9.20699,161.158,SB
amer1248,American Sign Language,ase,21,23,safe,North America,33.8117,-81.6121,CA US
tamn1235,Asmat,tml,25,82,safe,Papunesia,-5.57962,139.233,ID
sout2694,Altai (Southern),alt,51,83,unknown,Eurasia,50.1347,86.8705,RU
assa1263,Assamese,asm,24,84,unknown,Eurasia,26.0876,91.2932,IN
